SAMPLES,YEAR,stn,nisk,barcode,rep,Sample_Ctrl,Station,Niskin,DEPTH
GOM23_S12_N12_18S_orig,GOM23,S12,N12,18S,orig,Sample,12,12,1.783
GOM23_S12_N12_18S_S126,GOM23,S12,N12,18S,S126,Sample,12,12,1.783
GOM23_S12_N2_18S_orig,GOM23,S12,N2,18S,orig,Sample,12,2,1998.798
GOM23_S12_N2_18S_S163,GOM23,S12,N2,18S,S163,Sample,12,2,1998.798
GOM23_S12_N3_18S_orig,GOM23,S12,N3,18S,orig,Sample,12,3,1798.667
GOM23_S12_N3_18S_S171,GOM23,S12,N3,18S,S171,Sample,12,3,1798.667
GOM23_S12_N4_18S_orig,GOM23,S12,N4,18S,orig,Sample,12,4,1599.035
GOM23_S12_N4_18S_S179,GOM23,S12,N4,18S,S179,Sample,12,4,1599.035
GOM23_S12_N5_18S_orig,GOM23,S12,N5,18S,orig,Sample,12,5,1399.806
GOM23_S12_N5_18S_S187,GOM23,S12,N5,18S,S187,Sample,12,5,1399.806
GOM23_S12_N6_18S_orig,GOM23,S12,N6,18S,orig,Sample,12,6,1199.989
GOM23_S12_N6_18S_S102,GOM23,S12,N6,18S,S102,Sample,12,6,1199.989
GOM23_S14_N1_18S_orig,GOM23,S14,N1,18S,orig,Sample,14,1,2826.978
GOM23_S14_N1_18S_S134,GOM23,S14,N1,18S,S134,Sample,14,1,2826.978
GOM23_S14_N10_18S_orig,GOM23,S14,N10,18S,orig,Sample,14,10,114.725
GOM23_S14_N10_18S_S111,GOM23,S14,N10,18S,S111,Sample,14,10,114.725
GOM23_S14_N11_18S_orig,GOM23,S14,N11,18S,orig,Sample,14,11,69.85
GOM23_S14_N11_18S_S119,GOM23,S14,N11,18S,S119,Sample,14,11,69.85
GOM23_S14_N12_18S_orig,GOM23,S14,N12,18S,orig,Sample,14,12,2.899
GOM23_S14_N12_18S_S127,GOM23,S14,N12,18S,S127,Sample,14,12,2.899
